The Verifier - November 2018. Data as of December 7, 2025.
FIPS code,State,Jurisdiction,Equipment Type,Manufacturer,Model,First Year in Use,QR/Barcode,VVPAT,Election Day Standard,Election Day Accessible,Early Voting Standard,Early Voting Accessible,Mail Ballot/Absentee Equipment,Notes on usage
"2301356135","Maine","Town of Owl's Head (Knox County)","Hand-Fed Optical Scanner","ES&S","DS200","2012","N/A","N/A","Yes","No","Yes","No","Yes","",
"2301356135","Maine","Town of Owl's Head (Knox County)","Ballot Marking Device","ES&S","ExpressVote","2016","Yes","N/A","No","Yes","No","Yes","No","",
"2301356135","Maine","Town of Owl's Head (Knox County)","Internet Voting: Email","Not Applicable","Not Applicable","2010","N/A","N/A","No","No","No","No","Yes","Military and overseas voters",
"2301356135","Maine","Town of Owl's Head (Knox County)","Internet Voting: Fax","Not Applicable","Not Applicable","1996","N/A","N/A","No","No","No","No","Yes","Military and overseas voters",
"2301356135","Maine","Town of Owl's Head (Knox County)","Paper Poll Book","Not Applicable","Not Applicable","","N/A","N/A","Yes","No","Yes","No","No","",
"2301363590","Maine","City of Rockland (Knox County)","Hand-Fed Optical Scanner","ES&S","DS200","2014","N/A","N/A","Yes","No","Yes","No","Yes","",
"2301363590","Maine","City of Rockland (Knox County)","Ballot Marking Device","ES&S","ExpressVote","2016","Yes","N/A","No","Yes","No","Yes","No","",
"2301363590","Maine","City of Rockland (Knox County)","Internet Voting: Email","Not Applicable","Not Applicable","2010","N/A","N/A","No","No","No","No","Yes","Military and overseas voters",
"2301363590","Maine","City of Rockland (Knox County)","Internet Voting: Fax","Not Applicable","Not Applicable","1996","N/A","N/A","No","No","No","No","Yes","Military and overseas voters",
"2301363590","Maine","City of Rockland (Knox County)","Paper Poll Book","Not Applicable","Not Applicable","","N/A","N/A","Yes","No","Yes","No","No","",
"2301363660","Maine","Town of Rockport (Knox County)","Hand-Fed Optical Scanner","ES&S","DS200","2014","N/A","N/A","Yes","No","Yes","No","Yes","",
"2301363660","Maine","Town of Rockport (Knox County)","Ballot Marking Device","ES&S","ExpressVote","2016","Yes","N/A","No","Yes","No","Yes","No","",
"2301363660","Maine","Town of Rockport (Knox County)","Internet Voting: Email","Not Applicable","Not Applicable","2010","N/A","N/A","No","No","No","No","Yes","Military and overseas voters",
"2301363660","Maine","Town of Rockport (Knox County)","Internet Voting: Fax","Not Applicable","Not Applicable","1996","N/A","N/A","No","No","No","No","Yes","Military and overseas voters",
"2301363660","Maine","Town of Rockport (Knox County)","Paper Poll Book","Not Applicable","Not Applicable","","N/A","N/A","Yes","No","Yes","No","No","",
"2301365130","Maine","Town of Saint George (Knox County)","Hand-Fed Optical Scanner","ES&S","DS200","2012","N/A","N/A","Yes","No","Yes","No","Yes","",
"2301365130","Maine","Town of Saint George (Knox County)","Ballot Marking Device","ES&S","ExpressVote","2016","Yes","N/A","No","Yes","No","Yes","No","",
"2301365130","Maine","Town of Saint George (Knox County)","Internet Voting: Email","Not Applicable","Not Applicable","2010","N/A","N/A","No","No","No","No","Yes","Military and overseas voters",
"2301365130","Maine","Town of Saint George (Knox County)","Internet Voting: Fax","Not Applicable","Not Applicable","1996","N/A","N/A","No","No","No","No","Yes","Military and overseas voters",
"2301365130","Maine","Town of Saint George (Knox County)","Paper Poll Book","Not Applicable","Not Applicable","","N/A","N/A","Yes","No","Yes","No","No","",
"2301372585","Maine","Town of South Thomaston (Knox County)","Hand-Fed Optical Scanner","ES&S","DS200","2014","N/A","N/A","Yes","No","Yes","No","Yes","",
"2301372585","Maine","Town of South Thomaston (Knox County)","Ballot Marking Device","ES&S","ExpressVote","2016","Yes","N/A","No","Yes","No","Yes","No","",
"2301372585","Maine","Town of South Thomaston (Knox County)","Internet Voting: Email","Not Applicable","Not Applicable","2010","N/A","N/A","No","No","No","No","Yes","Military and overseas voters",
"2301372585","Maine","Town of South Thomaston (Knox County)","Internet Voting: Fax","Not Applicable","Not Applicable","1996","N/A","N/A","No","No","No","No","Yes","Military and overseas voters",
"2301372585","Maine","Town of South Thomaston (Knox County)","Paper Poll Book","Not Applicable","Not Applicable","","N/A","N/A","Yes","No","Yes","No","No","",
"2301376365","Maine","Town of Thomaston (Knox County)","Hand-Fed Optical Scanner","ES&S","DS200","2014","N/A","N/A","Yes","No","Yes","No","Yes","",
"2301376365","Maine","Town of Thomaston (Knox County)","Ballot Marking Device","ES&S","ExpressVote","2016","Yes","N/A","No","Yes","No","Yes","No","",
"2301376365","Maine","Town of Thomaston (Knox County)","Internet Voting: Email","Not Applicable","Not Applicable","2010","N/A","N/A","No","No","No","No","Yes","Military and overseas voters",
"2301376365","Maine","Town of Thomaston (Knox County)","Internet Voting: Fax","Not Applicable","Not Applicable","1996","N/A","N/A","No","No","No","No","Yes","Military and overseas voters",
"2301376365","Maine","Town of Thomaston (Knox County)","Paper Poll Book","Not Applicable","Not Applicable","","N/A","N/A","Yes","No","Yes","No","No","",
"2301378115","Maine","Town of Union (Knox County)","Hand-Fed Optical Scanner","ES&S","DS200","2014","N/A","N/A","Yes","No","Yes","No","Yes","",
"2301378115","Maine","Town of Union (Knox County)","Ballot Marking Device","ES&S","ExpressVote","2016","Yes","N/A","No","Yes","No","Yes","No","",
"2301378115","Maine","Town of Union (Knox County)","Internet Voting: Email","Not Applicable","Not Applicable","2010","N/A","N/A","No","No","No","No","Yes","Military and overseas voters",
"2301378115","Maine","Town of Union (Knox County)","Internet Voting: Fax","Not Applicable","Not Applicable","1996","N/A","N/A","No","No","No","No","Yes","Military and overseas voters",
"2301378115","Maine","Town of Union (Knox County)","Paper Poll Book","Not Applicable","Not Applicable","","N/A","N/A","Yes","No","Yes","No","No","",
"2301379130","Maine","Town of Vinalhaven (Knox County)","Hand Counted Paper Ballots","Not Applicable","Not Applicable","","N/A","N/A","Yes","No","Yes","No","Yes","",
"2301379130","Maine","Town of Vinalhaven (Knox County)","Ballot Marking Device","ES&S","ExpressVote","2016","Yes","N/A","No","Yes","No","Yes","No","",
"2301379130","Maine","Town of Vinalhaven (Knox County)","Internet Voting: Email","Not Applicable","Not Applicable","2010","N/A","N/A","No","No","No","No","Yes","Military and overseas voters",
"2301379130","Maine","Town of Vinalhaven (Knox County)","Internet Voting: Fax","Not Applicable","Not Applicable","1996","N/A","N/A","No","No","No","No","Yes","Military and overseas voters",
"2301379130","Maine","Town of Vinalhaven (Knox County)","Paper Poll Book","Not Applicable","Not Applicable","","N/A","N/A","Yes","No","Yes","No","No","",
"2301380215","Maine","Town of Warren (Knox County)","Hand-Fed Optical Scanner","ES&S","DS200","2014","N/A","N/A","Yes","No","Yes","No","Yes","",
"2301380215","Maine","Town of Warren (Knox County)","Ballot Marking Device","ES&S","ExpressVote","2016","Yes","N/A","No","Yes","No","Yes","No","",
"2301380215","Maine","Town of Warren (Knox County)","Internet Voting: Email","Not Applicable","Not Applicable","2010","N/A","N/A","No","No","No","No","Yes","Military and overseas voters",
"2301380215","Maine","Town of Warren (Knox County)","Internet Voting: Fax","Not Applicable","Not Applicable","1996","N/A","N/A","No","No","No","No","Yes","Military and overseas voters",
"2301380215","Maine","Town of Warren (Knox County)","Paper Poll Book","Not Applicable","Not Applicable","","N/A","N/A","Yes","No","Yes","No","No","",
"2301380425","Maine","Town of Washington (Knox County)","Hand-Fed Optical Scanner","ES&S","DS200","2014","N/A","N/A","Yes","No","Yes","No","Yes","",
"2301380425","Maine","Town of Washington (Knox County)","Ballot Marking Device","ES&S","ExpressVote","2016","Yes","N/A","No","Yes","No","Yes","No","",
"2301380425","Maine","Town of Washington (Knox County)","Internet Voting: Email","Not Applicable","Not Applicable","2010","N/A","N/A","No","No","No","No","Yes","Military and overseas voters",
"2301380425","Maine","Town of Washington (Knox County)","Internet Voting: Fax","Not Applicable","Not Applicable","1996","N/A","N/A","No","No","No","No","Yes","Military and overseas voters",
"2301380425","Maine","Town of Washington (Knox County)","Paper Poll Book","Not Applicable","Not Applicable","","N/A","N/A","Yes","No","Yes","No","No","",
"2301501010","Maine","Town of Alna (Lincoln County)","Hand Counted Paper Ballots","Not Applicable","Not Applicable","","N/A","N/A","Yes","No","Yes","No","Yes","",
"2301501010","Maine","Town of Alna (Lincoln County)","Ballot Marking Device","ES&S","ExpressVote","2016","Yes","N/A","No","Yes","No","Yes","No","",
"2301501010","Maine","Town of Alna (Lincoln County)","Internet Voting: Email","Not Applicable","Not Applicable","2010","N/A","N/A","No","No","No","No","Yes","Military and overseas voters",
"2301501010","Maine","Town of Alna (Lincoln County)","Internet Voting: Fax","Not Applicable","Not Applicable","1996","N/A","N/A","No","No","No","No","Yes","Military and overseas voters",
"2301501010","Maine","Town of Alna (Lincoln County)","Paper Poll Book","Not Applicable","Not Applicable","","N/A","N/A","Yes","No","Yes","No","No","",
"2301506050","Maine","Town of Boothbay (Lincoln County)","Hand-Fed Optical Scanner","ES&S","DS200","2014","N/A","N/A","Yes","No","Yes","No","Yes","",
"2301506050","Maine","Town of Boothbay (Lincoln County)","Ballot Marking Device","ES&S","ExpressVote","2016","Yes","N/A","No","Yes","No","Yes","No","",
"2301506050","Maine","Town of Boothbay (Lincoln County)","Internet Voting: Email","Not Applicable","Not Applicable","2010","N/A","N/A","No","No","No","No","Yes","Military and overseas voters",
"2301506050","Maine","Town of Boothbay (Lincoln County)","Internet Voting: Fax","Not Applicable","Not Applicable","1996","N/A","N/A","No","No","No","No","Yes","Military and overseas voters",
"2301506050","Maine","Town of Boothbay (Lincoln County)","Paper Poll Book","Not Applicable","Not Applicable","","N/A","N/A","Yes","No","Yes","No","No","",
"2301506120","Maine","Town of Boothbay Harbor (Lincoln County)","Hand-Fed Optical Scanner","ES&S","DS200","2014","N/A","N/A","Yes","No","Yes","No","Yes","",
"2301506120","Maine","Town of Boothbay Harbor (Lincoln County)","Ballot Marking Device","ES&S","ExpressVote","2016","Yes","N/A","No","Yes","No","Yes","No","",
"2301506120","Maine","Town of Boothbay Harbor (Lincoln County)","Internet Voting: Email","Not Applicable","Not Applicable","2010","N/A","N/A","No","No","No","No","Yes","Military and overseas voters",
"2301506120","Maine","Town of Boothbay Harbor (Lincoln County)","Internet Voting: Fax","Not Applicable","Not Applicable","1996","N/A","N/A","No","No","No","No","Yes","Military and overseas voters",
"2301506120","Maine","Town of Boothbay Harbor (Lincoln County)","Paper Poll Book","Not Applicable","Not Applicable","","N/A","N/A","Yes","No","Yes","No","No","",
"2301506855","Maine","Town of Bremen (Lincoln County)","Hand Counted Paper Ballots","Not Applicable","Not Applicable","","N/A","N/A","Yes","No","Yes","No","Yes","",
"2301506855","Maine","Town of Bremen (Lincoln County)","Ballot Marking Device","ES&S","ExpressVote","2016","Yes","N/A","No","Yes","No","Yes","No","",
"2301506855","Maine","Town of Bremen (Lincoln County)","Internet Voting: Email","Not Applicable","Not Applicable","2010","N/A","N/A","No","No","No","No","Yes","Military and overseas voters",
"2301506855","Maine","Town of Bremen (Lincoln County)","Internet Voting: Fax","Not Applicable","Not Applicable","1996","N/A","N/A","No","No","No","No","Yes","Military and overseas voters",
"2301506855","Maine","Town of Bremen (Lincoln County)","Paper Poll Book","Not Applicable","Not Applicable","","N/A","N/A","Yes","No","Yes","No","No","",
"2301507485","Maine","Town of Bristol (Lincoln County)","Hand-Fed Optical Scanner","ES&S","DS200","2012","N/A","N/A","Yes","No","Yes","No","Yes","",
"2301507485","Maine","Town of Bristol (Lincoln County)","Ballot Marking Device","ES&S","ExpressVote","2016","Yes","N/A","No","Yes","No","Yes","No","",
"2301507485","Maine","Town of Bristol (Lincoln County)","Internet Voting: Email","Not Applicable","Not Applicable","2010","N/A","N/A","No","No","No","No","Yes","Military and overseas voters",
"2301507485","Maine","Town of Bristol (Lincoln County)","Internet Voting: Fax","Not Applicable","Not Applicable","1996","N/A","N/A","No","No","No","No","Yes","Military and overseas voters",
"2301507485","Maine","Town of Bristol (Lincoln County)","Paper Poll Book","Not Applicable","Not Applicable","","N/A","N/A","Yes","No","Yes","No","No","",
"2301516235","Maine","Town of Damariscotta (Lincoln County)","Hand-Fed Optical Scanner","ES&S","DS200","2012","N/A","N/A","Yes","No","Yes","No","Yes","",
"2301516235","Maine","Town of Damariscotta (Lincoln County)","Ballot Marking Device","ES&S","ExpressVote","2016","Yes","N/A","No","Yes","No","Yes","No","",
"2301516235","Maine","Town of Damariscotta (Lincoln County)","Internet Voting: Email","Not Applicable","Not Applicable","2010","N/A","N/A","No","No","No","No","Yes","Military and overseas voters",
"2301516235","Maine","Town of Damariscotta (Lincoln County)","Internet Voting: Fax","Not Applicable","Not Applicable","1996","N/A","N/A","No","No","No","No","Yes","Military and overseas voters",
"2301516235","Maine","Town of Damariscotta (Lincoln County)","Paper Poll Book","Not Applicable","Not Applicable","","N/A","N/A","Yes","No","Yes","No","No","",
"2301518475","Maine","Town of Dresden (Lincoln County)","Hand-Fed Optical Scanner","ES&S","DS200","2012","N/A","N/A","Yes","No","Yes","No","Yes","",
"2301518475","Maine","Town of Dresden (Lincoln County)","Ballot Marking Device","ES&S","ExpressVote","2016","Yes","N/A","No","Yes","No","Yes","No","",
"2301518475","Maine","Town of Dresden (Lincoln County)","Internet Voting: Email","Not Applicable","Not Applicable","2010","N/A","N/A","No","No","No","No","Yes","Military and overseas voters",
"2301518475","Maine","Town of Dresden (Lincoln County)","Internet Voting: Fax","Not Applicable","Not Applicable","1996","N/A","N/A","No","No","No","No","Yes","Military and overseas voters",
"2301518475","Maine","Town of Dresden (Lincoln County)","Paper Poll Book","Not Applicable","Not Applicable","","N/A","N/A","Yes","No","Yes","No","No","",
"2301522675","Maine","Town of Edgecomb (Lincoln County)","Hand Counted Paper Ballots","Not Applicable","Not Applicable","","N/A","N/A","Yes","No","Yes","No","Yes","",
"2301522675","Maine","Town of Edgecomb (Lincoln County)","Ballot Marking Device","ES&S","ExpressVote","2016","Yes","N/A","No","Yes","No","Yes","No","",
"2301522675","Maine","Town of Edgecomb (Lincoln County)","Internet Voting: Email","Not Applicable","Not Applicable","2010","N/A","N/A","No","No","No","No","Yes","Military and overseas voters",
"2301522675","Maine","Town of Edgecomb (Lincoln County)","Internet Voting: Fax","Not Applicable","Not Applicable","1996","N/A","N/A","No","No","No","No","Yes","Military and overseas voters",
"2301522675","Maine","Town of Edgecomb (Lincoln County)","Paper Poll Book","Not Applicable","Not Applicable","","N/A","N/A","Yes","No","Yes","No","No","",
"2301535695","Maine","Town of Jefferson (Lincoln County)","Hand-Fed Optical Scanner","ES&S","DS200","2014","N/A","N/A","Yes","No","Yes","No","Yes","",
"2301535695","Maine","Town of Jefferson (Lincoln County)","Ballot Marking Device","ES&S","ExpressVote","2016","Yes","N/A","No","Yes","No","Yes","No","",
"2301535695","Maine","Town of Jefferson (Lincoln County)","Internet Voting: Email","Not Applicable","Not Applicable","2010","N/A","N/A","No","No","No","No","Yes","Military and overseas voters",
"2301535695","Maine","Town of Jefferson (Lincoln County)","Internet Voting: Fax","Not Applicable","Not Applicable","1996","N/A","N/A","No","No","No","No","Yes","Military and overseas voters",
"2301535695","Maine","Town of Jefferson (Lincoln County)","Paper Poll Book","Not Applicable","Not Applicable","","N/A","N/A","Yes","No","Yes","No","No","",
"2301546335","Maine","Monhegan Island Plantation (Lincoln County)","Hand Counted Paper Ballots","Not Applicable","Not Applicable","","N/A","N/A","Yes","No","Yes","No","Yes","",
"2301546335","Maine","Monhegan Island Plantation (Lincoln County)","Ballot Marking Device","ES&S","ExpressVote","2016","Yes","N/A","No","Yes","No","Yes","No","",
"2301546335","Maine","Monhegan Island Plantation (Lincoln County)","Internet Voting: Email","Not Applicable","Not Applicable","2010","N/A","N/A","No","No","No","No","Yes","Military and overseas voters",
"2301546335","Maine","Monhegan Island Plantation (Lincoln County)","Internet Voting: Fax","Not Applicable","Not Applicable","1996","N/A","N/A","No","No","No","No","Yes","Military and overseas voters",
"2301546335","Maine","Monhegan Island Plantation (Lincoln County)","Paper Poll Book","Not Applicable","Not Applicable","","N/A","N/A","Yes","No","Yes","No","No","",
"2301548645","Maine","Town of Newcastle (Lincoln County)","Hand-Fed Optical Scanner","ES&S","DS200","2012","N/A","N/A","Yes","No","Yes","No","Yes","",
"2301548645","Maine","Town of Newcastle (Lincoln County)","Ballot Marking Device","ES&S","ExpressVote","2016","Yes","N/A","No","Yes","No","Yes","No","",
"2301548645","Maine","Town of Newcastle (Lincoln County)","Internet Voting: Email","Not Applicable","Not Applicable","2010","N/A","N/A","No","No","No","No","Yes","Military and overseas voters",
"2301548645","Maine","Town of Newcastle (Lincoln County)","Internet Voting: Fax","Not Applicable","Not Applicable","1996","N/A","N/A","No","No","No","No","Yes","Military and overseas voters",
"2301548645","Maine","Town of Newcastle (Lincoln County)","Paper Poll Book","Not Applicable","Not Applicable","","N/A","N/A","Yes","No","Yes","No","No","",
"2301549660","Maine","Town of Nobleboro (Lincoln County)","Hand-Fed Optical Scanner","ES&S","DS200","2012","N/A","N/A","Yes","No","Yes","No","Yes","",
"2301549660","Maine","Town of Nobleboro (Lincoln County)","Ballot Marking Device","ES&S","ExpressVote","2016","Yes","N/A","No","Yes","No","Yes","No","",
"2301549660","Maine","Town of Nobleboro (Lincoln County)","Internet Voting: Email","Not Applicable","Not Applicable","2010","N/A","N/A","No","No","No","No","Yes","Military and overseas voters",
"2301549660","Maine","Town of Nobleboro (Lincoln County)","Internet Voting: Fax","Not Applicable","Not Applicable","1996","N/A","N/A","No","No","No","No","Yes","Military and overseas voters",
"2301549660","Maine","Town of Nobleboro (Lincoln County)","Paper Poll Book","Not Applicable","Not Applicable","","N/A","N/A","Yes","No","Yes","No","No","",
"2301569645","Maine","Town of Somerville (Lincoln County)","Hand Counted Paper Ballots","Not Applicable","Not Applicable","","N/A","N/A","Yes","No","Yes","No","Yes","",
"2301569645","Maine","Town of Somerville (Lincoln County)","Ballot Marking Device","ES&S","ExpressVote","2016","Yes","N/A","No","Yes","No","Yes","No","",
"2301569645","Maine","Town of Somerville (Lincoln County)","Internet Voting: Email","Not Applicable","Not Applicable","2010","N/A","N/A","No","No","No","No","Yes","Military and overseas voters",
"2301569645","Maine","Town of Somerville (Lincoln County)","Internet Voting: Fax","Not Applicable","Not Applicable","1996","N/A","N/A","No","No","No","No","Yes","Military and overseas voters",
"2301569645","Maine","Town of Somerville (Lincoln County)","Paper Poll Book","Not Applicable","Not Applicable","","N/A","N/A","Yes","No","Yes","No","No","",
"2301570240","Maine","Town of South Bristol (Lincoln County)","Hand-Fed Optical Scanner","ES&S","DS200","2016","N/A","N/A","Yes","No","Yes","No","Yes","",
"2301570240","Maine","Town of South Bristol (Lincoln County)","Ballot Marking Device","ES&S","ExpressVote","2016","Yes","N/A","No","Yes","No","Yes","No","",
"2301570240","Maine","Town of South Bristol (Lincoln County)","Internet Voting: Email","Not Applicable","Not Applicable","2010","N/A","N/A","No","No","No","No","Yes","Military and overseas voters",
"2301570240","Maine","Town of South Bristol (Lincoln County)","Internet Voting: Fax","Not Applicable","Not Applicable","1996","N/A","N/A","No","No","No","No","Yes","Military and overseas voters",
"2301570240","Maine","Town of South Bristol (Lincoln County)","Paper Poll Book","Not Applicable","Not Applicable","","N/A","N/A","Yes","No","Yes","No","No","",
"2301571955","Maine","Town of Southport (Lincoln County)","Hand-Fed Optical Scanner","ES&S","DS200","2014","N/A","N/A","Yes","No","Yes","No","Yes","",
"2301571955","Maine","Town of Southport (Lincoln County)","Ballot Marking Device","ES&S","ExpressVote","2016","Yes","N/A","No","Yes","No","Yes","No","",
"2301571955","Maine","Town of Southport (Lincoln County)","Internet Voting: Email","Not Applicable","Not Applicable","2010","N/A","N/A","No","No","No","No","Yes","Military and overseas voters",
"2301571955","Maine","Town of Southport (Lincoln County)","Internet Voting: Fax","Not Applicable","Not Applicable","1996","N/A","N/A","No","No","No","No","Yes","Military and overseas voters",
"2301571955","Maine","Town of Southport (Lincoln County)","Paper Poll Book","Not Applicable","Not Applicable","","N/A","N/A","Yes","No","Yes","No","No","",
"2301579550","Maine","Town of Waldoboro (Lincoln County)","Hand-Fed Optical Scanner","ES&S","DS200","2012","N/A","N/A","Yes","No","Yes","No","Yes","",
"2301579550","Maine","Town of Waldoboro (Lincoln County)","Ballot Marking Device","ES&S","ExpressVote","2016","Yes","N/A","No","Yes","No","Yes","No","",
"2301579550","Maine","Town of Waldoboro (Lincoln County)","Internet Voting: Email","Not Applicable","Not Applicable","2010","N/A","N/A","No","No","No","No","Yes","Military and overseas voters",
"2301579550","Maine","Town of Waldoboro (Lincoln County)","Internet Voting: Fax","Not Applicable","Not Applicable","1996","N/A","N/A","No","No","No","No","Yes","Military and overseas voters",
"2301579550","Maine","Town of Waldoboro (Lincoln County)","Paper Poll Book","Not Applicable","Not Applicable","","N/A","N/A","Yes","No","Yes","No","No","",
"2301584135","Maine","Town of Westport Island (Lincoln County)","Hand Counted Paper Ballots","Not Applicable","Not Applicable","","N/A","N/A","Yes","No","Yes","No","Yes","",
"2301584135","Maine","Town of Westport Island (Lincoln County)","Ballot Marking Device","ES&S","ExpressVote","2016","Yes","N/A","No","Yes","No","Yes","No","",
"2301584135","Maine","Town of Westport Island (Lincoln County)","Internet Voting: Email","Not Applicable","Not Applicable","2010","N/A","N/A","No","No","No","No","Yes","Military and overseas voters",
"2301584135","Maine","Town of Westport Island (Lincoln County)","Internet Voting: Fax","Not Applicable","Not Applicable","1996","N/A","N/A","No","No","No","No","Yes","Military and overseas voters",
"2301584135","Maine","Town of Westport Island (Lincoln County)","Paper Poll Book","Not Applicable","Not Applicable","","N/A","N/A","Yes","No","Yes","No","No","",
"2301585010","Maine","Town of Whitefield (Lincoln County)","Hand-Fed Optical Scanner","ES&S","DS200","2014","N/A","N/A","Yes","No","Yes","No","Yes","",
"2301585010","Maine","Town of Whitefield (Lincoln County)","Ballot Marking Device","ES&S","ExpressVote","2016","Yes","N/A","No","Yes","No","Yes","No","",
"2301585010","Maine","Town of Whitefield (Lincoln County)","Internet Voting: Email","Not Applicable","Not Applicable","2010","N/A","N/A","No","No","No","No","Yes","Military and overseas voters",
"2301585010","Maine","Town of Whitefield (Lincoln County)","Internet Voting: Fax","Not Applicable","Not Applicable","1996","N/A","N/A","No","No","No","No","Yes","Military and overseas voters",
"2301585010","Maine","Town of Whitefield (Lincoln County)","Paper Poll Book","Not Applicable","Not Applicable","","N/A","N/A","Yes","No","Yes","No","No","",
"2301587075","Maine","Town of Wiscasset (Lincoln County)","Hand-Fed Optical Scanner","ES&S","DS200","2014","N/A","N/A","Yes","No","Yes","No","Yes","",
"2301587075","Maine","Town of Wiscasset (Lincoln County)","Ballot Marking Device","ES&S","ExpressVote","2016","Yes","N/A","No","Yes","No","Yes","No","",
"2301587075","Maine","Town of Wiscasset (Lincoln County)","Internet Voting: Email","Not Applicable","Not Applicable","2010","N/A","N/A","No","No","No","No","Yes","Military and overseas voters",
"2301587075","Maine","Town of Wiscasset (Lincoln County)","Internet Voting: Fax","Not Applicable","Not Applicable","1996","N/A","N/A","No","No","No","No","Yes","Military and overseas voters",
"2301587075","Maine","Town of Wiscasset (Lincoln County)","Paper Poll Book","Not Applicable","Not Applicable","","N/A","N/A","Yes","No","Yes","No","No","",
"2309999901","Maine","Albany Township (Oxford County)","Hand Counted Paper Ballots","Not Applicable","Not Applicable","","N/A","N/A","Yes","No","Yes","No","Yes","",
"2309999901","Maine","Albany Township (Oxford County)","Ballot Marking Device","ES&S","ExpressVote","2016","Yes","N/A","No","Yes","No","Yes","No","",
"2309999901","Maine","Albany Township (Oxford County)","Internet Voting: Email","Not Applicable","Not Applicable","2010","N/A","N/A","No","No","No","No","Yes","Military and overseas voters",
"2309999901","Maine","Albany Township (Oxford County)","Internet Voting: Fax","Not Applicable","Not Applicable","1996","N/A","N/A","No","No","No","No","Yes","Military and overseas voters",
"2309999901","Maine","Albany Township (Oxford County)","Paper Poll Book","Not Applicable","Not Applicable","","N/A","N/A","Yes","No","Yes","No","No","",
"2301701325","Maine","Town of Andover (Oxford County)","Hand Counted Paper Ballots","Not Applicable","Not Applicable","","N/A","N/A","Yes","No","Yes","No","Yes","",
"2301701325","Maine","Town of Andover (Oxford County)","Ballot Marking Device","ES&S","ExpressVote","2016","Yes","N/A","No","Yes","No","Yes","No","",
"2301701325","Maine","Town of Andover (Oxford County)","Internet Voting: Email","Not Applicable","Not Applicable","2010","N/A","N/A","No","No","No","No","Yes","Military and overseas voters",
"2301701325","Maine","Town of Andover (Oxford County)","Internet Voting: Fax","Not Applicable","Not Applicable","1996","N/A","N/A","No","No","No","No","Yes","Military and overseas voters",
"2301701325","Maine","Town of Andover (Oxford County)","Paper Poll Book","Not Applicable","Not Applicable","","N/A","N/A","Yes","No","Yes","No","No","",
"2301704825","Maine","Town of Bethel (Oxford County)","Hand-Fed Optical Scanner","ES&S","DS200","2014","N/A","N/A","Yes","No","Yes","No","Yes","",
"2301704825","Maine","Town of Bethel (Oxford County)","Ballot Marking Device","ES&S","ExpressVote","2016","Yes","N/A","No","Yes","No","Yes","No","",
"2301704825","Maine","Town of Bethel (Oxford County)","Internet Voting: Email","Not Applicable","Not Applicable","2010","N/A","N/A","No","No","No","No","Yes","Military and overseas voters",
"2301704825","Maine","Town of Bethel (Oxford County)","Internet Voting: Fax","Not Applicable","Not Applicable","1996","N/A","N/A","No","No","No","No","Yes","Military and overseas voters",
"2301704825","Maine","Town of Bethel (Oxford County)","Paper Poll Book","Not Applicable","Not Applicable","","N/A","N/A","Yes","No","Yes","No","No","",
"2301708150","Maine","Town of Brownfield (Oxford County)","Hand-Fed Optical Scanner","ES&S","DS200","2014","N/A","N/A","Yes","No","Yes","No","Yes","",
"2301708150","Maine","Town of Brownfield (Oxford County)","Ballot Marking Device","ES&S","ExpressVote","2016","Yes","N/A","No","Yes","No","Yes","No","",
"2301708150","Maine","Town of Brownfield (Oxford County)","Internet Voting: Email","Not Applicable","Not Applicable","2010","N/A","N/A","No","No","No","No","Yes","Military and overseas voters",
"2301708150","Maine","Town of Brownfield (Oxford County)","Internet Voting: Fax","Not Applicable","Not Applicable","1996","N/A","N/A","No","No","No","No","Yes","Military and overseas voters",
"2301708150","Maine","Town of Brownfield (Oxford County)","Paper Poll Book","Not Applicable","Not Applicable","","N/A","N/A","Yes","No","Yes","No","No","",
"2301708710","Maine","Town of Buckfield (Oxford County)","Hand-Fed Optical Scanner","ES&S","DS200","2012","N/A","N/A","Yes","No","Yes","No","Yes","",
"2301708710","Maine","Town of Buckfield (Oxford County)","Ballot Marking Device","ES&S","ExpressVote","2016","Yes","N/A","No","Yes","No","Yes","No","",
"2301708710","Maine","Town of Buckfield (Oxford County)","Internet Voting: Email","Not Applicable","Not Applicable","2010","N/A","N/A","No","No","No","No","Yes","Military and overseas voters",
"2301708710","Maine","Town of Buckfield (Oxford County)","Internet Voting: Fax","Not Applicable","Not Applicable","1996","N/A","N/A","No","No","No","No","Yes","Military and overseas voters",
"2301708710","Maine","Town of Buckfield (Oxford County)","Paper Poll Book","Not Applicable","Not Applicable","","N/A","N/A","Yes","No","Yes","No","No","",
"2301709550","Maine","Town of Byron (Oxford County)","Hand Counted Paper Ballots","Not Applicable","Not Applicable","","N/A","N/A","Yes","No","Yes","No","Yes","",
"2301709550","Maine","Town of Byron (Oxford County)","Ballot Marking Device","ES&S","ExpressVote","2016","Yes","N/A","No","Yes","No","Yes","No","",
"2301709550","Maine","Town of Byron (Oxford County)","Internet Voting: Email","Not Applicable","Not Applicable","2010","N/A","N/A","No","No","No","No","Yes","Military and overseas voters",
"2301709550","Maine","Town of Byron (Oxford County)","Internet Voting: Fax","Not Applicable","Not Applicable","1996","N/A","N/A","No","No","No","No","Yes","Military and overseas voters",
"2301709550","Maine","Town of Byron (Oxford County)","Paper Poll Book","Not Applicable","Not Applicable","","N/A","N/A","Yes","No","Yes","No","No","",
